index	publishing_name	ad	dbd	gender	area	slide_code	objective	sampleId	tile	age	published_externally	effector	line	objectiveName	mounting_protocol	Reporter Code	JRC Genotype	label	filename	part_of	Template	comment
0	SS00729	GMR_58G11_XA_21	GMR_81D05_XD_01	Female	Brain	20140624_33_A4	20x	2030820113376084066	brain	Day 1-5	1	IVS-myr-FLAG_Syt-HA_3_0055	GMR_SS00729	Plan-Apochromat 20x/0.8 M27	DPX PBS Mounting	IVS-myr-FLAG_Syt-HA_3_0055	w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1	JRC_SS00729_Brain_2018_20140624_33_A4_20x	20x-Brain-2030820113376084066	female organism|adult brain	JRC2018Unisex_c	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20140624_33_A4', age: 'Day 1-5'
2	SS00730	GMR_75C10_XA_21	GMR_87D07_XD_01	Female	Brain	20140624_33_B1	20x	2030820115250937954	brain	Day 1-5	1	IVS-myr-FLAG_Syt-HA_3_0055	GMR_SS00730	Plan-Apochromat 20x/0.8 M27	DPX PBS Mounting	IVS-myr-FLAG_Syt-HA_3_0055	w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1	JRC_SS00730_Brain_2018_20140624_33_B1_20x	20x-Brain-2030820115250937954	female organism|adult brain	JRC2018Unisex_c	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20140624_33_B1', age: 'Day 1-5'
4	SS00731	GMR_22C05_XA_21	GMR_56G08_XD_01	Female	Brain	20140624_33_C2	20x	2030820125132718178	brain	Day 1-5	1	IVS-myr-FLAG_Syt-HA_3_0055	GMR_SS00731	Plan-Apochromat 20x/0.8 M27	DPX PBS Mounting	IVS-myr-FLAG_Syt-HA_3_0055	w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1	JRC_SS00731_Brain_2018_20140624_33_C2_20x	20x-Brain-2030820125132718178	female organism|adult brain	JRC2018Unisex_c	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20140624_33_C2', age: 'Day 1-5'
6	SS00732	GMR_14F03_XA_21	GMR_24C07_XD_01	Female	Brain	20140624_33_D2	20x	2030820131721969762	brain	Day 1-5	1	IVS-myr-FLAG_Syt-HA_3_0055	GMR_SS00732	Plan-Apochromat 20x/0.8 M27	DPX PBS Mounting	IVS-myr-FLAG_Syt-HA_3_0055	w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1	JRC_SS00732_Brain_2018_20140624_33_D2_20x	20x-Brain-2030820131721969762	female organism|adult brain	JRC2018Unisex_c	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20140624_33_D2', age: 'Day 1-5'
8	SS01057	GMR_20C05_XA_21	GMR_85H06_AV_01	Female	Brain	20140623_32_A3	20x	2025678411631951970	brain	Day 1-5	1	IVS-myr-FLAG_Syt-HA_3_0055	GMR_SS01057	Plan-Apochromat 20x/0.8 M27	DPX PBS Mounting	IVS-myr-FLAG_Syt-HA_3_0055	w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1	JRC_SS01057_Brain_2018_20140623_32_A3_20x	20x-Brain-2025678411631951970	female organism|adult brain	JRC2018Unisex_c	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20140623_32_A3', age: 'Day 1-5'
10	SS01059	GMR_21F01_XA_21	GMR_22D06_XD_01	Female	Brain	20140623_32_C2	20x	2026743742282596450	brain	Day 1-5	1	IVS-myr-FLAG_Syt-HA_3_0055	GMR_SS01059	Plan-Apochromat 20x/0.8 M27	DPX PBS Mounting	IVS-myr-FLAG_Syt-HA_3_0055	w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1	JRC_SS01059_Brain_2018_20140623_32_C2_20x	20x-Brain-2026743742282596450	female organism|adult brain	JRC2018Unisex_c	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20140623_32_C2', age: 'Day 1-5'
12	SS01060	GMR_21F05_XA_21	GMR_21H11_XD_01	Female	Brain	20140623_32_D1	20x	2247799262408605770	brain	Day 1-5	1	IVS-myr-FLAG_Syt-HA_3_0055	GMR_SS01060	Plan-Apochromat 20x/0.8 M27	DPX PBS Mounting	IVS-myr-FLAG_Syt-HA_3_0055	w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1	JRC_SS01060_Brain_2018_20140623_32_D1_20x	20x-Brain-2247799262408605770	female organism|adult brain	JRC2018Unisex_c	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20140623_32_D1', age: 'Day 1-5'
14	SS01078	GMR_69C11_XA_21	GMR_81D05_XD_01	Female	Brain	20140623_34_A2	20x	2026743795286016098	brain	Day 1-5	1	IVS-myr-FLAG_Syt-HA_3_0055	GMR_SS01078	Plan-Apochromat 20x/0.8 M27	DPX PBS Mounting	IVS-myr-FLAG_Syt-HA_3_0055	w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1	JRC_SS01078_Brain_2018_20140623_34_A2_20x	20x-Brain-2026743795286016098	female organism|adult brain	JRC2018Unisex_c	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20140623_34_A2', age: 'Day 1-5'
16	SS01061	GMR_22H02_XA_21	GMR_20F03_XD_01	Female	Brain	20140623_32_E1	20x	2026743756111216738	brain	Day 1-5	1	IVS-myr-FLAG_Syt-HA_3_0055	GMR_SS01061	Plan-Apochromat 20x/0.8 M27	DPX PBS Mounting	IVS-myr-FLAG_Syt-HA_3_0055	w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1	JRC_SS01061_Brain_2018_20140623_32_E1_20x	20x-Brain-2026743756111216738	female organism|adult brain	JRC2018Unisex_c	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20140623_32_E1', age: 'Day 1-5'
18	SS01077	GMR_61A01_XA_21	BJD_102G11_AV_01	Female	Brain	20140623_34_B4	20x	2026743814697255010	brain	Day 1-5	1	IVS-myr-FLAG_Syt-HA_3_0055	GMR_SS01077	Plan-Apochromat 20x/0.8 M27	DPX PBS Mounting	IVS-myr-FLAG_Syt-HA_3_0055	w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1	JRC_SS01077_Brain_2018_20140623_34_B4_20x	20x-Brain-2026743814697255010	female organism|adult brain	JRC2018Unisex_c	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20140623_34_B4', age: 'Day 1-5'
