filename	label	AD	DBD	part_of	Template	synonyms	comment
20x-Brain-1889492766577131618	JRC_SS00316_Brain_2017_20130612_33_C2_20x			female organism|adult brain	JRC2018Unisex_c	SS00316|GMR_SS00316|JRC_SS00316	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20130612_33_C2', age: 'Day 1-5'
20x-Brain-2149419674947813474	JRC_SS00324_Brain_2017_20130625_31_F1_20x			female organism|adult brain	JRC2018Unisex_c	SS00324|GMR_SS00324|JRC_SS00324	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20130625_31_F1', age: 'Day 1-5'
20x-Brain-1921658189598687330	JRC_SS00300_Brain_2017_20130822_31_A1_20x			female organism|adult brain	JRC2018Unisex_c	SS00300|GMR_SS00300|JRC_SS00300	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20130822_31_A1', age: 'Day 1-5'
20x-Brain-1958766553818202210	JRC_SS00955_Brain_2017_20131217_31_B3_20x			female organism|adult brain	JRC2018Unisex_c	SS00955|GMR_SS00955|JRC_SS00955	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20131217_31_B3', age: 'Day 1-5'
20x-Brain-1969279023695528034	JRC_SS00809_Brain_2017_20131230_32_B1_20x			female organism|adult brain	JRC2018Unisex_c	SS00809|GMR_SS00809|JRC_SS00809	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20131230_32_B1', age: 'Day 1-5'
20x-Brain-1969279737561874530	JRC_SS01019_Brain_2017_20140121_31_F3_20x			female organism|adult brain	JRC2018Unisex_c	SS01019|GMR_SS01019|JRC_SS01019	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20140121_31_F3', age: 'Day 1-5'
20x-Brain-2093214011708407906	JRC_SS02432_Brain_2017_20141201_34_G1_20x			female organism|adult brain	JRC2018Unisex_c	SS02432|GMR_SS02432|JRC_SS02432	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20141201_34_G1', age: 'Day 1-5'
20x-Brain-2093208836725801058	JRC_SS02430_Brain_2017_20141201_32_C1_20x			female organism|adult brain	JRC2018Unisex_c	SS02430|BJD_SS02430|JRC_SS02430	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20141201_32_C1', age: 'Day 1-5'
63x-Brain-1897487170264891399	JRC_SS00313_Brain_2017_20130607_31_G2_63x			female organism|adult brain	JRC2018Unisex_c	SS00313|GMR_SS00313|JRC_SS00313	tile(s): 'left_optic_lobe, ventral, left_dorsal, right_dorsal, right_optic_lobe', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 63x/1.4 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20130607_31_G2', age: 'Day 1-5'
63x-Brain-2149419674947813474	JRC_SS00324_Brain_2017_20130625_31_F1_63x			female organism|adult brain	JRC2018Unisex_c	SS00324|GMR_SS00324|JRC_SS00324	tile(s): 'left_dorsal, left_optic_lobe, right_dorsal, right_optic_lobe, ventral', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 63x/1.4 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20130625_31_F1', age: 'Day 1-5'
63x-Brain-1921658189598687330	JRC_SS00300_Brain_2017_20130822_31_A1_63x			female organism|adult brain	JRC2018Unisex_c	SS00300|GMR_SS00300|JRC_SS00300	tile(s): 'left_dorsal, left_optic_lobe, right_dorsal, right_optic_lobe, ventral', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 63x/1.40 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20130822_31_A1', age: 'Day 1-5'
63x-Brain-1958766553818202210	JRC_SS00955_Brain_2017_20131217_31_B3_63x			female organism|adult brain	JRC2018Unisex_c	SS00955|GMR_SS00955|JRC_SS00955	tile(s): 'left_dorsal, left_optic_lobe, right_dorsal, right_optic_lobe, ventral', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 63x/1.4 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20131217_31_B3', age: 'Day 1-5'
63x-Brain-1969279023695528034	JRC_SS00809_Brain_2017_20131230_32_B1_63x			female organism|adult brain	JRC2018Unisex_c	SS00809|GMR_SS00809|JRC_SS00809	tile(s): 'left_dorsal, left_optic_lobe, right_dorsal, right_optic_lobe, ventral', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 63x/1.4 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20131230_32_B1', age: 'Day 1-5'
63x-Brain-2093208836725801058	JRC_SS02430_Brain_2017_20141201_32_C1_63x			female organism|adult brain	JRC2018Unisex_c	SS02430|BJD_SS02430|JRC_SS02430	tile(s): 'left_optic_lobe, ventral, left_dorsal, right_dorsal, right_optic_lobe', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 63x/1.40 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20141201_32_C1', age: 'Day 1-5'
